student_id,first_name,last_name,promotion_id,td_group_id,tp_group_id
E00001,Emna,Naifar,1,2,3
E00002,Mehdi,Saidi,1,2,3
E00003,Hatem,Naifar,1,2,3
E00004,Mariem,Hlaoui,1,2,3
E00005,Bilel,Karray,1,2,3
E00006,Amine,Werghi,1,2,3
E00007,Leila,Werghi,1,2,3
E00008,Marwen,Guesmi,1,2,3
E00009,Nadia,Mejri,1,2,3
E00010,Leila,Hammami,1,2,3
E00011,Emna,Chaabane,1,2,3
E00012,Mariem,Ben Salah,1,2,3
E00013,Bilel,Gabsi,1,2,3
E00014,Amira,Gabsi,1,2,3
E00015,Youssef,Rahmouni,1,2,3
E00016,Maha,Rahmouni,1,2,4
E00017,Aymen,Naifar,1,2,4
E00018,Wassim,Zouari,1,2,4
E00019,Olfa,Chaabane,1,2,4
E00020,Marwen,Hlaoui,1,2,4
E00021,Amine,Naifar,1,2,4
E00022,Skander,Fakhfakh,1,2,4
E00023,Sonia,Mansour,1,2,4
E00024,Olfa,Kacem,1,2,4
E00025,Nour,Ferchichi,1,2,4
E00026,Nour,Loukil,1,2,4
E00027,Rania,Jelassi,1,2,4
E00028,Sana,Bouazizi,1,2,4
E00029,Marwen,Hamdi,1,2,4
E00030,Nabil,Toumi,1,2,4
E00031,Zied,Karray,1,5,6
E00032,Slim,Dridi,1,5,6
E00033,Ikram,Naifar,1,5,6
E00034,Emna,Rekik,1,5,6
E00035,Marwen,Sassi,1,5,6
E00036,Maha,Tlili,1,5,6
E00037,Firas,Selmi,1,5,6
E00038,Olfa,Cherni,1,5,6
E00039,Ikram,Cherni,1,5,6
E00040,Leila,Belhadj,1,5,6
E00041,Fares,Bouazizi,1,5,6
E00042,Rim,Trabelsi,1,5,6
E00043,Yosra,Karray,1,5,6
E00044,Fares,Msakni,1,5,6
E00045,Fares,Ben Salah,1,5,6
E00046,Mehdi,Rahmouni,1,5,7
E00047,Ines,Ayari,1,5,7
E00048,Mehdi,Gharbi,1,5,7
E00049,Rim,Bouazizi,1,5,7
E00050,Aymen,Belhadj,1,5,7
E00051,Sarra,Toumi,1,5,7
E00052,Sana,Rekik,1,5,7
E00053,Marwen,Hamdi,1,5,7
E00054,Oussama,Loukil,1,5,7
E00055,Zied,Belhadj,1,5,7
E00056,Zied,Ammar,1,5,7
E00057,Wassim,Khelifi,1,5,7
E00058,Youssef,Toumi,1,5,7
E00059,Emna,Ouni,1,5,7
E00060,Emna,Ammar,1,5,7
E00061,Mariem,Ferchichi,1,8,9
E00062,Roua,Selmi,1,8,9
E00063,Nadia,Khelifi,1,8,9
E00064,Ines,Tlili,1,8,9
E00065,Rim,Khelifi,1,8,9
E00066,Nour,Sassi,1,8,9
E00067,Wassim,Jaziri,1,8,9
E00068,Wael,Hamdi,1,8,9
E00069,Emna,Nasri,1,8,9
E00070,Sarra,Douik,1,8,9
E00071,Nour,Bouazizi,1,8,9
E00072,Wael,Karray,1,8,9
E00073,Youssef,Ferchichi,1,8,9
E00074,Nadia,Jaziri,1,8,9
E00075,Amine,Jelassi,1,8,9
E00076,Nour,Chaabane,1,8,10
E00077,Ghazi,Fakhfakh,1,8,10
E00078,Zied,Rekik,1,8,10
E00079,Asma,Ferchichi,1,8,10
E00080,Slim,Saidi,1,8,10
E00081,Amine,Saidi,1,8,10
E00082,Bilel,Douik,1,8,10
E00083,Anis,Baccouche,1,8,10
E00084,Sabrine,Toumi,1,8,10
E00085,Sana,Zouari,1,8,10
E00086,Wassim,Hammami,1,8,10
E00087,Dorra,Ferchichi,1,8,10
E00088,Yosra,Jaziri,1,8,10
E00089,Ines,Laabidi,1,8,10
E00090,Ines,Ferchichi,1,8,10
E00091,Yosra,Essid,1,11,12
E00092,Aymen,Hlaoui,1,11,12
E00093,Slim,Ferchichi,1,11,12
E00094,Aymen,Jelassi,1,11,12
E00095,Amira,Bouazizi,1,11,12
E00096,Hamza,Bouazizi,1,11,12
E00097,Roua,Belhadj,1,11,12
E00098,Asma,Mansour,1,11,12
E00099,Oussama,Belhadj,1,11,12
E00100,Yosra,Naifar,1,11,12
E00101,Karim,Oueslati,1,11,12
E00102,Rania,Ammar,1,11,12
E00103,Firas,Msakni,1,11,12
E00104,Oussama,Hlaoui,1,11,12
E00105,Skander,Dridi,1,11,12
E00106,Dorra,Toumi,1,11,13
E00107,Skander,Belhadj,1,11,13
E00108,Bilel,Tlili,1,11,13
E00109,Nabil,Toumi,1,11,13
E00110,Nadia,Kacem,1,11,13
E00111,Mariem,Laabidi,1,11,13
E00112,Mehdi,Ben Salah,1,11,13
E00113,Mariem,Oueslati,1,11,13
E00114,Oussama,Khelifi,1,11,13
E00115,Mehdi,Jaziri,1,11,13
E00116,Dorra,Gabsi,1,11,13
E00117,Bilel,Hamdi,1,11,13
E00118,Tarek,Bouazizi,1,11,13
E00119,Nour,Riahi,1,11,13
E00120,Anis,Chaabane,1,11,13
E00121,Wael,Jaziri,2,15,16
E00122,Maha,Oueslati,2,15,16
E00123,Nadia,Hlaoui,2,15,16
E00124,Amine,Toumi,2,15,16
E00125,Sabrine,Kacem,2,15,16
E00126,Firas,Khelifi,2,15,16
E00127,Nabil,Dridi,2,15,16
E00128,Leila,Khelifi,2,15,16
E00129,Sabrine,Zouari,2,15,16
E00130,Sarra,Hammami,2,15,16
E00131,Hamza,Rekik,2,15,16
E00132,Rim,Rekik,2,15,16
E00133,Roua,Rahmouni,2,15,16
E00134,Bilel,Gabsi,2,15,16
E00135,Sana,Dridi,2,15,16
E00136,Ines,Jelassi,2,15,17
E00137,Chaker,Baccouche,2,15,17
E00138,Sarra,Gharbi,2,15,17
E00139,Amine,Mejri,2,15,17
E00140,Nabil,Rahmouni,2,15,17
E00141,Bilel,Chaabane,2,15,17
E00142,Wael,Karray,2,15,17
E00143,Emna,Karray,2,15,17
E00144,Amine,Mansour,2,15,17
E00145,Mehdi,Zouari,2,15,17
E00146,Marwen,Gharbi,2,15,17
E00147,Olfa,Msakni,2,15,17
E00148,Sabrine,Zouari,2,15,17
E00149,Emna,Hamdi,2,15,17
E00150,Karim,Kacem,2,15,17
E00151,Olfa,Gharbi,2,18,19
E00152,Tarek,Rekik,2,18,19
E00153,Roua,Belhadj,2,18,19
E00154,Firas,Khelifi,2,18,19
E00155,Tarek,Karray,2,18,19
E00156,Ghazi,Oueslati,2,18,19
E00157,Hela,Belhadj,2,18,19
E00158,Slim,Nasri,2,18,19
E00159,Ghazi,Trabelsi,2,18,19
E00160,Amira,Mejri,2,18,19
E00161,Ghazi,Toumi,2,18,19
E00162,Nour,Guesmi,2,18,19
E00163,Slim,Khelifi,2,18,19
E00164,Hatem,Gharbi,2,18,19
E00165,Zied,Ayari,2,18,19
E00166,Wassim,Douik,2,18,20
E00167,Tarek,Kacem,2,18,20
E00168,Fares,Ayari,2,18,20
E00169,Sonia,Toumi,2,18,20
E00170,Wassim,Tlili,2,18,20
E00171,Rim,Guesmi,2,18,20
E00172,Mehdi,Guesmi,2,18,20
E00173,Tarek,Selmi,2,18,20
E00174,Aymen,Tlili,2,18,20
E00175,Roua,Jaziri,2,18,20
E00176,Rim,Trabelsi,2,18,20
E00177,Leila,Dridi,2,18,20
E00178,Amira,Msakni,2,18,20
E00179,Bilel,Gharbi,2,18,20
E00180,Youssef,Naifar,2,18,20
E00181,Emna,Ouni,2,21,22
E00182,Skander,Baccouche,2,21,22
E00183,Hamza,Gabsi,2,21,22
E00184,Leila,Saidi,2,21,22
E00185,Oussama,Sassi,2,21,22
E00186,Bilel,Gharbi,2,21,22
E00187,Emna,Ben Salah,2,21,22
E00188,Ikram,Jaziri,2,21,22
E00189,Roua,Toumi,2,21,22
E00190,Wassim,Riahi,2,21,22
E00191,Emna,Bouazizi,2,21,22
E00192,Firas,Mejri,2,21,22
E00193,Feriel,Laabidi,2,21,22
E00194,Firas,Mansour,2,21,22
E00195,Maha,Gabsi,2,21,22
E00196,Maha,Toumi,2,21,23
E00197,Ghazi,Laabidi,2,21,23
E00198,Asma,Hammami,2,21,23
E00199,Sabrine,Hamdi,2,21,23
E00200,Wassim,Ammar,2,21,23
E00201,Firas,Saidi,2,21,23
E00202,Roua,Nasri,2,21,23
E00203,Feriel,Loukil,2,21,23
E00204,Maha,Tlili,2,21,23
E00205,Sabrine,Ben Salah,2,21,23
